timestamp,value
1747369027.570,-9.194,-3.453,0.701
1747369027.571,-9.193,-3.452,0.700
1747369027.573,-9.193,-3.451,0.699
1747369027.575,-9.192,-3.449,0.698
1747369027.576,-9.191,-3.448,0.697
1747369027.578,-9.191,-3.447,0.696
1747369027.580,-9.190,-3.446,0.695
1747369027.581,-9.189,-3.445,0.694
1747369027.583,-9.189,-3.443,0.693
1747369027.585,-9.188,-3.442,0.692
1747369027.586,-9.187,-3.441,0.692
1747369027.588,-9.187,-3.440,0.691
1747369027.590,-9.186,-3.438,0.690
1747369027.592,-9.185,-3.437,0.689
1747369027.593,-9.185,-3.436,0.688
1747369027.595,-9.184,-3.434,0.687
1747369027.597,-9.183,-3.433,0.686
1747369027.599,-9.183,-3.432,0.685
1747369027.600,-9.182,-3.431,0.684
1747369027.602,-9.181,-3.429,0.683
1747369027.604,-9.180,-3.428,0.682
1747369027.606,-9.180,-3.427,0.681
1747369027.608,-9.179,-3.425,0.680
1747369027.609,-9.178,-3.424,0.679
1747369027.611,-9.178,-3.423,0.678
1747369027.613,-9.177,-3.421,0.677
1747369027.615,-9.176,-3.420,0.676
1747369027.616,-9.175,-3.419,0.675
1747369027.618,-9.175,-3.418,0.674
1747369027.620,-9.174,-3.416,0.673
1747369027.622,-9.173,-3.415,0.672
1747369027.624,-9.173,-3.414,0.670
1747369027.625,-9.172,-3.412,0.669
1747369027.627,-9.171,-3.411,0.668
1747369027.629,-9.171,-3.410,0.667
1747369027.631,-9.170,-3.408,0.666
1747369027.633,-9.169,-3.407,0.665
1747369027.635,-9.168,-3.406,0.664
1747369027.636,-9.168,-3.404,0.663
1747369027.638,-9.167,-3.403,0.662
1747369027.640,-9.166,-3.402,0.661
1747369027.642,-9.165,-3.400,0.660
1747369027.644,-9.165,-3.399,0.659
1747369027.646,-9.164,-3.398,0.658
1747369027.647,-9.163,-3.396,0.657
1747369027.671,-9.154,-3.379,0.644
1747369027.673,-9.153,-3.377,0.642
1747369027.676,-9.152,-3.375,0.641
1747369027.679,-9.150,-3.373,0.639
1747369027.683,-9.149,-3.370,0.637
1747369027.687,-9.147,-3.367,0.635
1747369027.691,-9.145,-3.364,0.632
1747369027.694,-9.144,-3.362,0.631
1747369027.697,-9.143,-3.360,0.629
1747369027.700,-9.142,-3.357,0.627
1747369027.704,-9.140,-3.355,0.625
1747369027.706,-9.140,-3.353,0.624
1747369027.708,-9.139,-3.352,0.623
1747369027.710,-9.138,-3.350,0.622
1747369027.712,-9.137,-3.349,0.620
1747369027.713,-9.136,-3.347,0.619
1747369027.715,-9.136,-3.346,0.618
1747369027.718,-9.135,-3.344,0.617
1747369027.719,-9.134,-3.343,0.616
1747369027.721,-9.133,-3.342,0.615
1747369027.723,-9.133,-3.341,0.614
1747369027.725,-9.132,-3.339,0.613
1747369027.726,-9.131,-3.338,0.612
1747369027.728,-9.131,-3.337,0.611
1747369027.730,-9.130,-3.335,0.610
1747369027.731,-9.129,-3.334,0.609
1747369027.733,-9.128,-3.333,0.608
1747369027.735,-9.128,-3.331,0.607
1747369027.737,-9.127,-3.330,0.606
1747369027.739,-9.126,-3.329,0.605
1747369027.740,-9.125,-3.327,0.604
1747369027.742,-9.125,-3.326,0.603
1747369027.744,-9.124,-3.325,0.602
