timestamp,amplitude,frequency
1746751876.818,0.330,341.493
1746751876.820,0.330,341.494
1746751876.823,0.330,341.496
1746751876.825,0.330,341.498
1746751876.827,0.330,341.500
1746751876.829,0.330,341.502
1746751876.830,0.330,341.503
1746751876.832,0.330,341.505
1746751876.834,0.330,341.506
1746751876.836,0.330,341.508
1746751876.837,0.330,341.509
1746751876.839,0.329,341.511
1746751876.841,0.329,341.512
1746751876.843,0.329,341.514
1746751876.845,0.329,341.516
1746751876.846,0.329,341.517
1746751876.848,0.329,341.518
1746751876.850,0.329,341.520
1746751876.851,0.329,341.521
1746751876.853,0.329,341.523
1746751876.855,0.329,341.524
1746751876.856,0.329,341.526
1746751876.858,0.329,341.527
1746751876.860,0.328,341.529
1746751876.862,0.328,341.530
1746751876.863,0.328,341.532
1746751876.865,0.328,341.533
1746751876.867,0.328,341.535
1746751876.868,0.328,341.536
1746751876.869,0.328,341.537
1746751876.871,0.328,341.538
1746751876.872,0.328,341.540
1746751876.874,0.328,341.541
1746751876.875,0.328,341.542
1746751876.878,0.328,341.545
1746751876.880,0.328,341.546
1746751876.881,0.327,341.547
1746751876.883,0.327,341.549
1746751876.885,0.327,341.550
1746751876.886,0.327,341.552
1746751876.887,0.327,341.553
1746751876.889,0.327,341.554
1746751876.890,0.327,341.555
1746751876.892,0.327,341.557
1746751876.893,0.327,341.558
1746751876.895,0.327,341.559
1746751876.896,0.327,341.560
1746751876.897,0.327,341.562
1746751876.899,0.327,341.563
1746751876.900,0.327,341.564
1746751876.902,0.327,341.565
1746751876.903,0.326,341.566
1746751876.904,0.326,341.568
1746751876.906,0.326,341.569
1746751876.907,0.326,341.570
1746751876.909,0.326,341.571
1746751876.910,0.326,341.573
1746751876.911,0.326,341.574
1746751876.913,0.326,341.575
1746751876.915,0.326,341.577
1746751876.917,0.326,341.579
1746751876.918,0.326,341.580
1746751876.920,0.326,341.582
1746751876.922,0.326,341.583
1746751876.924,0.325,341.585
1746751876.925,0.325,341.586
1746751876.927,0.325,341.588
1746751876.928,0.325,341.589
1746751876.930,0.325,341.590
1746751876.932,0.325,341.592
1746751876.933,0.325,341.593
1746751876.935,0.325,341.595
1746751876.937,0.325,341.596
1746751876.939,0.325,341.598
1746751876.940,0.325,341.600
1746751876.942,0.325,341.601
1746751876.944,0.325,341.603
1746751876.946,0.324,341.604
1746751876.948,0.324,341.606
1746751876.950,0.324,341.608
1746751876.951,0.324,341.609
1746751876.953,0.324,341.611
1746751876.955,0.324,341.613
1746751876.957,0.324,341.614
1746751876.960,0.324,341.617
1746751876.962,0.324,341.619
1746751876.964,0.324,341.621
1746751876.966,0.324,341.622
1746751876.967,0.323,341.624
1746751876.969,0.323,341.625
1746751876.971,0.323,341.627
1746751876.973,0.323,341.628
1746751876.974,0.323,341.630
1746751876.976,0.323,341.632
1746751876.978,0.323,341.634
1746751876.980,0.323,341.635
1746751876.982,0.323,341.637
1746751876.984,0.323,341.638
1746751876.986,0.323,341.640
1746751876.987,0.323,341.642
1746751876.989,0.322,341.644
1746751876.991,0.322,341.645
1746751876.993,0.322,341.647
1746751876.995,0.322,341.648
1746751876.998,0.322,341.651
1746751877.002,0.322,341.655
1746751877.004,0.322,341.657
1746751877.006,0.322,341.659
1746751877.008,0.322,341.660
1746751877.009,0.321,341.661
1746751877.011,0.321,341.663
1746751877.012,0.321,341.664
1746751877.014,0.321,341.666
1746751877.016,0.321,341.667
1746751877.017,0.321,341.669
1746751877.019,0.321,341.671
1746751877.021,0.321,341.672
1746751877.023,0.321,341.674
1746751877.031,0.320,341.681
1746751877.033,0.320,341.683
1746751877.036,0.320,341.686
1746751877.037,0.320,341.687
1746751877.039,0.320,341.689
1746751877.041,0.320,341.690
1746751877.043,0.320,341.692
1746751877.044,0.320,341.693
1746751877.046,0.320,341.695
1746751877.048,0.320,341.697
1746751877.050,0.320,341.699
1746751877.052,0.319,341.701
1746751877.054,0.319,341.703
1746751877.056,0.319,341.704
1746751877.058,0.319,341.706
1746751877.059,0.319,341.707
1746751877.064,0.319,341.712
1746751877.066,0.319,341.713
1746751877.067,0.319,341.715
1746751877.069,0.319,341.716
1746751877.070,0.319,341.718
1746751877.072,0.319,341.719
1746751877.073,0.318,341.720
1746751877.075,0.318,341.722
1746751877.076,0.318,341.723
1746751877.078,0.318,341.725
1746751877.080,0.318,341.726
1746751877.082,0.318,341.728
1746751877.083,0.318,341.730
1746751877.085,0.318,341.731
1746751877.086,0.318,341.732
1746751877.088,0.318,341.734
1746751877.089,0.318,341.735
1746751877.091,0.318,341.736
1746751877.092,0.318,341.738
1746751877.094,0.318,341.739
1746751877.095,0.317,341.741
1746751877.097,0.317,341.742
1746751877.098,0.317,341.743
1746751877.100,0.317,341.745
1746751877.102,0.317,341.747
1746751877.104,0.317,341.748
1746751877.105,0.317,341.750
1746751877.106,0.317,341.751
1746751877.108,0.317,341.752
1746751877.109,0.317,341.754
1746751877.111,0.317,341.755
1746751877.112,0.317,341.756
1746751877.114,0.317,341.758
1746751877.115,0.317,341.759
1746751877.117,0.316,341.760
1746751877.118,0.316,341.762
1746751877.119,0.316,341.763
1746751877.121,0.316,341.764
1746751877.122,0.316,341.766
1746751877.124,0.316,341.767
1746751877.125,0.316,341.769
1746751877.127,0.316,341.770
1746751877.128,0.316,341.771
1746751877.130,0.316,341.773
1746751877.131,0.316,341.774
1746751877.133,0.316,341.775
1746751877.134,0.316,341.777
1746751877.136,0.316,341.778
1746751877.137,0.316,341.780
1746751877.139,0.315,341.781
1746751877.141,0.315,341.784
1746751877.143,0.315,341.785
1746751877.144,0.315,341.786
1746751877.146,0.315,341.788
1746751877.147,0.315,341.789
1746751877.149,0.315,341.790
1746751877.150,0.315,341.792
1746751877.152,0.315,341.793
1746751877.153,0.315,341.795
1746751877.155,0.315,341.796
1746751877.156,0.315,341.798
1746751877.158,0.315,341.799
1746751877.159,0.314,341.801
1746751877.161,0.314,341.802
1746751877.162,0.314,341.804
1746751877.164,0.314,341.805
1746751877.165,0.314,341.806
1746751877.167,0.314,341.808
1746751877.169,0.314,341.809
1746751877.170,0.314,341.811
1746751877.172,0.314,341.812
1746751877.173,0.314,341.814
1746751877.175,0.314,341.815
1746751877.176,0.314,341.817
1746751877.178,0.314,341.818
1746751877.179,0.314,341.820
1746751877.181,0.313,341.821
1746751877.183,0.313,341.823
1746751877.185,0.313,341.825
1746751877.186,0.313,341.826
1746751877.188,0.313,341.828
1746751877.190,0.313,341.829
1746751877.191,0.313,341.831
1746751877.193,0.313,341.832
1746751877.194,0.313,341.834
1746751877.198,0.313,341.838
1746751877.200,0.313,341.839
1746751877.201,0.313,341.841
1746751877.203,0.312,341.842
1746751877.205,0.312,341.844
1746751877.206,0.312,341.845
1746751877.208,0.312,341.847
1746751877.209,0.312,341.848
1746751877.211,0.312,341.850
1746751877.212,0.312,341.851
1746751877.214,0.312,341.853
1746751877.216,0.312,341.854
1746751877.217,0.312,341.856
1746751877.219,0.312,341.857
1746751877.220,0.312,341.859
1746751877.224,0.312,341.862
1746751877.225,0.311,341.863
1746751877.227,0.311,341.865
1746751877.229,0.311,341.867
1746751877.231,0.311,341.869
1746751877.232,0.311,341.870
1746751877.234,0.311,341.872
1746751877.236,0.311,341.873
1746751877.237,0.311,341.875
1746751877.239,0.311,341.877
1746751877.241,0.311,341.878
1746751877.242,0.311,341.880
1746751877.244,0.311,341.881
1746751877.246,0.310,341.883
1746751877.247,0.310,341.885
1746751877.249,0.310,341.886
1746751877.252,0.310,341.889
1746751877.253,0.310,341.890
1746751877.255,0.310,341.892
1746751877.257,0.310,341.894
1746751877.258,0.310,341.895
1746751877.260,0.310,341.897
1746751877.262,0.310,341.898
1746751877.263,0.310,341.900
1746751877.265,0.310,341.902
1746751877.266,0.310,341.903
1746751877.268,0.309,341.905
1746751877.270,0.309,341.906
1746751877.271,0.309,341.908
1746751877.273,0.309,341.910
1746751877.275,0.309,341.911
1746751877.277,0.309,341.913
1746751877.279,0.309,341.915
1746751877.281,0.309,341.917
1746751877.283,0.309,341.919
1746751877.285,0.309,341.922
1746751877.288,0.309,341.924
1746751877.290,0.308,341.926
1746751877.292,0.308,341.928
1746751877.293,0.308,341.929
1746751877.296,0.308,341.932
1746751877.298,0.308,341.934
1746751877.299,0.308,341.935
1746751877.301,0.308,341.937
1746751877.304,0.308,341.940
1746751877.307,0.308,341.943
1746751877.309,0.308,341.944
1746751877.310,0.308,341.946
1746751877.312,0.307,341.948
1746751877.313,0.307,341.949
1746751877.317,0.307,341.952
1746751877.318,0.307,341.954
1746751877.320,0.307,341.956
1746751877.323,0.307,341.959
1746751877.325,0.307,341.960
1746751877.326,0.307,341.962
1746751877.328,0.307,341.963
1746751877.329,0.307,341.965
1746751877.331,0.307,341.966
1746751877.332,0.306,341.968
1746751877.334,0.306,341.969
1746751877.336,0.306,341.971
1746751877.337,0.306,341.972
1746751877.339,0.306,341.974
